id,title,description,category,duration_minutes,created_at
sp1,Fluency & Coherence,Master the art of speaking naturally and organizing your ideas logically.,Speaking,20,2026-01-16 19:00
sp2,Pronunciation & Intonation,Learn how to pronounce words clearly and use natural stress patterns.,Speaking,20,2026-01-16 19:00
sp3,Lexical Resource in Speaking,Expand your vocabulary and use words appropriately in context.,Speaking,20,2026-01-16 19:00
sp4,Grammatical Range & Accuracy,Use complex grammar structures correctly in your speaking.,Speaking,20,2026-01-16 19:00
sp5,Part 2 Cue Card Mastery,Develop strategies to speak for 2 minutes on any topic.,Speaking,25,2026-01-16 19:00
wr1,Task Achievement in Writing,Learn to fully address all parts of the writing task.,Writing,25,2026-01-16 19:00
wr2,Coherence & Cohesion in Writing,Organize your writing with clear paragraphs and linking devices.,Writing,25,2026-01-16 19:00
wr3,Lexical Resource in Writing,Use a wide range of vocabulary accurately in your essays.,Writing,25,2026-01-16 19:00
wr4,Grammatical Range in Writing,Master complex sentence structures for higher band scores.,Writing,25,2026-01-16 19:00
wr5,Task 2 Essay Types,Understand different essay types: opinion discussion problem-solution.,Writing,30,2026-01-16 19:00
li1,Listening for Specific Information,Develop skills to catch names numbers dates and specific details.,Listening,20,2026-01-16 19:00
li2,Understanding Main Ideas,Learn to identify the main point and purpose of conversations.,Listening,20,2026-01-16 19:00
li3,Following Directions & Maps,Master the vocabulary and skills for map labeling questions.,Listening,20,2026-01-16 19:00
li4,Note Completion Strategies,Learn techniques for completing notes forms and tables.,Listening,20,2026-01-16 19:00
li5,Multiple Choice Techniques,Develop strategies for multiple choice listening questions.,Listening,25,2026-01-16 19:00
re1,Skimming for Main Ideas,Learn to quickly identify the main idea of passages.,Reading,25,2026-01-16 19:00
re2,Scanning for Details,Develop the ability to locate specific information quickly.,Reading,25,2026-01-16 19:00
re3,True/False/Not Given Strategies,Master the logic behind these challenging question types.,Reading,25,2026-01-16 19:00
re4,Matching Headings,Learn to match paragraph headings with main ideas effectively.,Reading,25,2026-01-16 19:00
re5,Summary & Sentence Completion,Develop skills for completing summaries and sentences accurately.,Reading,30,2026-01-16 19:00
